county,loc_1
galway,"ma,boston,9/51"
galway,"ma,boston,9/51"
kerry,"quebec,'49"
kildare,"nyc,12/50"
kilkenny,
kilkenny,
limerick,"ma,boston,'46"
mayo,"ma,boston,'45"
mayo,"in,"
meath,"nyc,'47"
roscommon,"ma,boston"
waterford,"mo,st.louis"
,"ma,saundersville,3/15/82"
,"va,?morrue river"
,"va,?,morgantown"
,"va,?kingwood"
,"ma,boston,8/20/52"
,"nbr,st.john,'45"
cavan,"vt,"
cork,"ma,boston,'51"
cork,"ma,boston"
cork,
galway,"ma,boston,'50"
kerry,"ny,dunkirk"
tipperary,"quebec,'42"
kerry,"nyc,'51"
kerry,nyc
kerry,"nyc,'52"
kildare,"nyc,'52"
kilkenny,"ma,boston,11/51"
leitrim,nyc
leitrim,"nyc,'44"
leitrim,
limerick,"ma,lowell,'50"
limerick,
limerick,"nyc,'49"
mayo,"ny,lake champlain"
mayo,"ny,lake champlain"
sligo,"ny,hudson,3/5"
sligo,"quebec,'46"
tipperary,"quebec,'42"
tipperary,"quebec,'42"
waterford,"ny,dunkirk"
wexford,"pa,philadelphia"
,"que,montreal,'48"
,"va,wheeling,ohio co."
,
,"oh,cincinnati,'49"
clare,"ny,grt.valley;in,11/51"
clare,"il,alton"
clare,"oh,harrison co."
clare,"oh,harrison co."
cork,"*eng,gloucestershire'34"
cork,"nyc,'51"
cork,"nyc,'51"
cork,
cork,nyc
cork,nyc
cork,"ct,"
cork,"nbr,st.john"
cork,"nbr,st.john"
galway,"oh,"
galway,"md,baltimore;me"
kerry,"ma,boston"
kildare,"ct,greenwich,fairfield co;pa"
kilkenny,
mayo,"ma,bost./nyc/phila.(?)"
limerick,"ny,troy, 20 mi.fr."
limerick,
limerick,"pa,honesdale"
londonderry,
longford,nyc
roscommon,"il,"
roscommon,"ns,halifax,'49"
sligo,"ny,whitehall"
sligo,"ny,whitehall"
sligo,
sligo,"quebec,'45"
tipperary,
tipperary,"quebec,'50"
tipperary,"nyc,9/50"
tipperary,"quebec,'45"
tipperary,"ns,halifax,'49"
tipperary,"ns,halifax,'49"
tipperary,"vt,chelton/chelsea"
tyrone,"nyc,'50"
waterford,"oh,harrison co."
,"md,cumberland"
,nyc
,"nyc,'36"
kerry,"ma,boston,'47"
,"ns,halifax*"
,"ns,halifax*"
,nyc
carlow,"nyc,'49"
cavan,"nj,"
cavan,"la,new orleans,'49"
clare,"nyc,'51"
clare,nyc
clare,"ont,st.catharines,'49"
clare,"nyc,6/52"
cork,"ma,boston"
cork,"oh,cincinnati"
cork,"oh,cincinnati"
cork,"nyc,'47"
cork,"nbr,st.john,'45"
cork,*wales
cork,"ny,ft.plains"
cork,"ny,tarrytown"
cork,"nyc,'51"
donegal,"ont,ottawa*,vanix hill,'48"
down,"ont,cornwall"
kerry,"nyc,c/o patrick hallicey"
kerry,"ma,boston,'47"
kerry,"nyc,'46"
kilkenny,"nyc,'50"
kilkenny,"nyc,'50t"
kings,"va, huntersville,'3/47"
leitrim,"ma,boston"
leitrim,"ma,boston"
limerick,"ny,poughkeepsie"
limerick,quebec
limerick,quebec
limerick,quebec
limerick,quebec
londonderry,"md,baltimore"
louth,"nyc,'52"
mayo,"ny,albany or elmyra"
roscommon,"ny,hopefalls,hamilton co."
roscommon,"nyc,'45"
Roscommon,nyc
tipperary,nyc
tipperary,
tipperary,"nyc,'45"
tipperary,"nyc,'45"
tipperary,"nyc,'45"
tipperary,"nyc,'45"
tipperary,"nyc,'45"
wicklow,"oh,cincinnati"
,nyc
,nyc
,nyc
,nyc
,"ma,randolph,7/51"
carlow,"nyc,'51"
cavan,"nyc,'52"
clare,"ny,e.troy,'51"
clare,"ny,e.troy,'51"
clare,"la,new orleans"
cork,"la,"
cork,"ma,worcester,'49"
cork,"ct,"
cork,nyc
cork,nyc
cork,"nyc,'52"
dublin,
galway,"nh,garon,'51"
kerry,nyc*
kerry,"ny,w.bloomfield,'49"
kerry,"quebec,'51"
kilkenny,"quebec,'52"
kilkenny,"quebec,'52"
kilkenny,"al,roudsler po"
limerick,
limerick,
limerick,"vt,burlington,9/51;wi*"
limerick,"ma,boston,7/4/50"
limerick,
limerick,"quebec,'49"
mayo,"quebec,'43"
mayo,"quebec,'43"
mayo,
mayo,"ny,whitehall"
sligo,"vt,brattleboro"
sligo,"vt,brattleboro"
sligo,"vt,brattleboro"
sligo,"ont,"
sligo,
sligo,"nh,great falls,11/51"
tipperary,
tipperary,
tipperary,
tipperary,
tipperary,"quebec,'50"
tipperary,quebec
tipperary,"quebec,'51"
,
,"quebec,'50"
,"quebec,'50"
,"mi,niles"
armagh,"nyc,pitt st."
clare,"quebec,'48"
clare,"nyc,'47"
clare,"que,montreal or vicinity"
clare,france'43
clare,"pa,(?),ny&erie rr,10/50"
clare,"pa,(?),piermont/pt.jervis"
cork,"ma,boston"
cork,"ma,boston,'49"
cork,"ma,boston,'51"
cork,"ny,port henry,essex co."
cork,"ny,port henry,essex co."
cork,"nyc,11/51"
cork,"nyc,11/51"
cork,"ns,halifax"
cork,"ns,halifax"
galway,"nyc,'52"
galway,"que,montreal"
kerry,"nj,patterson"
kerry,"oh,cleveland"
kerry,
kerry,"ma,winchendon,'50"
kerry,"ct,norwich"
kildare,"nyc,29 oliver st.,10/20/50"
kilkenny,
leitrim,"nyc,'48"
leitrim,"quebec,'41"
limerick,"nyc,155 leonard st.*"
limerick,"nyc,155 leonard st."
limerick,"nyc,155 leonard st."
roscommon,"pa,luzerne co."
roscommon,
sligo,
tipperary,nyc
tipperary,"md,baltimore,'51"
,"ma,boston,'50;milford,ma"
,"nyc,'47"
,"nyc,'47"
,"oh,urbana,6/52"
cavan,"nyc,'51"
cork,
cork,"oh,steuben co."
cork,"nbr,st.john"
cork,"nyc,'50"
cork,"oh,cincinnati,hamilton co.*"
cork,"quebec,'42"
cork,"quebec,'42"
cork,"quebec,'42"
cork,"quebec,'42"
dublin,"pa,yarlville,bucks co."
dublin,"nyc,'51"
galway,"ma,boston,5/52"
galway,"nbr,st.john"
galway,"md,baltimore, hospital"
kerry,"md,prince george co."
kilkenny,"in,"
kings,"ny,brooklyn"
leitrim,"ny,medina"
leitrim,"la,new orleans,'51"
limerick,
limerick,*bermuda
mayo,"la,new orleans"
queens,"pa,pottsville"
sligo,"ny,buffalo,6/50"
sligo,"ny,buffalo,6/50"
tipperary,"mi,biloxi"
tipperary,"ma,lawrence & bradford"
wexford,"quebec,'49"
wexford,"ma,boston"
,"ma,charlestown,10/15/52"
,"ns,sydney,cape breton"
,
,
,
,
,
,
,
cavan,nyc
clare,"ct,'51"
cork,"la,new orleans"
cork,"la,new orleans"
cork,"la,new orleans"
cork,
cork,
down,"ma,boston,'52"
galway,
galway,nyc
kerry,"nyc,'48"
kerry,nyc
kerry,"quebec,'51"
kerry,"quebec,'45"
kerry,
kildare,"nyc,'47"
kilkenny,
kings,"ia,dubuque"
limerick,"ny,salem,washington co.,5/52"
meath,"que,buckingham"
*england,
queens,"ny,port jervis"
queens,"ny,port jervis"
roscommon,"ma,boston"
roscommon,
tipperary,"nyc,'51"
tyrone,"que,montreal"
tyrone,"ny,troy,2/51"
waterford,
,"pa,phila,'50"
,"nbr,st.john"
,"ma,boston,'51"
,"ma,boston,'50"
cavan,nyc
cavan,nyc
cavan,nyc
cork,"pa,'49"
cork,"va,brooksville,albemarle co."
cork,"ont,toronto,3/52"
dublin,nyc
dublin,nyc
fermanagh,"ma,lawrence,11/51"
galway,
kerry,"wi,milwaukee"
kerry,"wi,milwaukee"
kerry,
kerry,"quebec,5/47"
kerry,"ma,thorndike"
kildare,"la,new orleans,'28"
kilkenny,"nfld,"
limerick,
limerick,
limerick,"ny,batavia,st.lawrence co."
limerick,nyc
louth,"nyc,'51"
louth,"nyc,'49"
sligo,"nyc,'46"
mayo,"pa,lancaster"
meath,"pa,philadelphia"
meath,"pa,philadelphia"
meath,
sligo,"nbr,st.john"
tipperary,"nyc,'50"
waterford,"quebec,'49"
waterford,"ny,albany"
waterford,"ny,albany"
,"ma,newburyport,'50"
,"*eng,wolverhampton"
antrim,"ny,long island"
cavan,
cavan,
cavan,
cork,"nyc,'51"
cork,
cork,"ma,boston"
cork,"va,7/52"
cork,"va,7/52"
donegal,"ma,boston,'40"
down,"tn,"
leitrim,"que,montreal"
limerick,"nh,"
mayo,"oh,cleveland,10 mi.fr.'50"
mayo,"nyc,'45"
mayo,
mayo,"nyc,'51"
meath,
*england,
sligo,"la,baton rouge"
tipperary,"nyc,4 cor.,franklin co."
tipperary,"nyc,'42"
tipperary,"la,new orleans, 2/50"
tyrone,nyc
tyrone,nyc
tyrone,"ma,boston,'52"
waterford,"ma,boston"
wexford,"nyc,'47"
wexford,"nyc,'47"
wexford,"ga,savannah,4/49"
,
,
,
,
,
,"nbr,st.john"
,"quebec,'50"
,
,"mo,49"
armagh,
clare,"mo,st.joseph's, 51"
clare,"ga,savannah"
clare,"ny,clinton co., 50"
cork,"nyc,'52"
cork,"ont,"
cork,"oh,hamilton, butler co."
dublin,"ny,albany 51"
galway,"ny,livingston co., 3/51"
galway,nyc
galway,
kerry,"nyc,'50"
kerry,"oh,cleveland"
kerry,"quebec,'51"
kerry,"quebec,'38"
kerry,
kerry,"nyc,4/51"
,"*scotland,dunbarton"
queens,"ma,boston,'48"
roscommon,
roscommon,
sligo,
sligo,
tipperary,
tipperary,"quebec,'49"
tyrone,
waterford,
waterford,"nyc,'51"
waterford,"nova scotia, ma, springfield"
wexford,"ny,albany"
,"oh,clyde"
,"mo,st.louis"
,"mo,st.louis"
clare,"quebec,'51"
clare,"ny,schenectady,"
cork,"ma,boston,'51"
cork,"nyc,'51"
cork,"me,lewiston falls,"
kerry,"nyc,'51"
kilkenny,
kilkenny,
limerick,"quebec,'49"
limerick,"ny,eagle bridge (08/52),"
limerick,"ga,madison county, (03/51)"
londonderry,"ri,providence, (1846)"
londonderry,"ri,providence, (1846)"
louth,"ma,boston (1847), ny (1851)"
mayo,"mo,st.louis,"
mayo,
mayo,"ny,deposit delaware county,"
meath,"ma,boston,'51"
meath,"ma,boston,'48"
monaghan,"nc,"
monaghan,"nc,"
monaghan,"nc,"
tyrone,"ri,providence,'46"
waterford,"nyc,'52"
,"ny,buffalo, vt 12/51"
,"me,hallowell (08/52)"
,"nyc,'51"
,"ont,6/51"
,"ma,boston"
,"ma,boston"
,"ont,*, 6/51"
,"il,/mo,la, *"
clare,"nh,"
clare,"ny,troy"
clare,"ny,troy"
cork,"ma,boston"
cork,"mo,st.louis (1842)"
cork,"va,manchester,"
cork,"me,bishops corner,"
cork,"me,bishops corner,"
cork,"me,"
cork,"nbr,st.john"
donegal,"pa,chester"
fermanagh,
kerry,"ns,barra,03/51*"
kerry,
kerry,nyc
kerry,
kerry,"quebec,'51"
kerry,"ma,boston,'50"
kilkenny,"nyc,'50"
limerick,"ny,victor (11/51)"
limerick,"ma,boston"
limerick,"nyc,'49"
mayo,"va,"
roscommon,nyc
sligo,"ont,toronto,"
tipperary,
tipperary,"vt,"
tipperary,"ny,rochester"
tipperary,"ny,rochester"
waterford,"ma,boston,'47"
waterford,"ma,s.wilbraham,"
waterford,"ny,hanover co."
wexford,"nyc,'51"
,
,"oh,lorain cnty."
,"ny,sullivan cnty(45)"
,"ny,sullivan cnty.(45)"
,"ny,sullivan cnty.(45)"
,"nfld,riverhead,(42-52)"
,"quebec, montreal area"
cavan,"quebec,'46"
clare,"vt,rutland,"
cork,"ma,lowell,8/51"
cork,"quebec,'40"
cork,
galway,"la,new orleans"
galway,
galway,
galway,
galway,
galway,
galway,
galway,
galway,
galway,
kildare,"que,quebec, wolves cave,"
kilkenny,"pa,pittsburgh (12/51)"
kilkenny,
limerick,"pa,harrisburg dolphin cnty,"
limerick,"ny,little falls,6/51"
limerick,"il,"
londonderry,"ft.winnebago,*"
longford,"que,grantim,*"
louth,"nyc,nr."
*scotland,"oh,columbia,s.liverpool"
tipperary,"ny,syracuse,"
tipperary,"nyc,'50"
tipperary,
tipperary,"me,'50"
waterford,"ny,middlesboro,*"
waterford,"nyc,'51"
,"in,"
,nyc
dublin,"in,"
louth,"nbr,st.john"
,"ns,yarmouth"
,"ns,yarmouth"
,
,"pa,pittsburgh"
,"ca,"
,
,"ma,boston,53"
,"il,"
,"nyc,'52"
,"oh,cleveland, 7/52"
armagh,"ny,albany, 47"
armagh,can
cavan,"ma,lowell,48"
clare,"oh,cincinnati,"
clare,"oh,cincinnati,"
clare,
clare,
clare,"oh,"
clare,
clare,"ny,brooklyn"
clare,"nyc,118 read st."
*canada,"ma,"
cork,"me,"
cork,"ny,livingston co, 52"
cork,"va,finchburg"
cork,"pa,"
cork,
donegal,"nbr,st.john"
donegal,
donegal,
donegal,
fermanagh,
galway,
galway,"ma,boston"
galway,
galway,"ma,boston,'51"
*ireland,"me, machias, 30; ma, bo."
*ireland,"il,chicago"
kerry,"nyc,'42"
kerry,"ma,lowell"
kerry,"ny,hinsdale, catarangus co."
kerry,"ny,hinsdale, catarangus co."
kerry,nyc
kerry,"mo,st.louis"
kerry,"ny,troy"
kerry,"vt,bellows falls, 51."
kildare,
kilkenny,
kilkenny,"ny,hillsdale village*"
kilkenny,"pa,pottsville"
kilkenny,"pa,pottsville"
kings,"que,quebec, 7/52"
limerick,"quebec,'48"
limerick,"nyc,'52"
limerick,"que,portland,51"
limerick,"ky,louisville,9/50"
limerick,"nyc,'52"
limerick,
londonderry,"ma,boston,'48"
longford,
louth,"la,new orleans"
louth,nyc
louth,nyc
louth,
louth,
louth,
louth,"nyc,46"
mayo,nyc
mayo,"md,cumberland,"
mayo,nyc
mayo,"nyc,'49"
mayo,
mayo,
mayo,"ny,e.albany, 51"
mayo,"vt,white river 08/52,*"
mayo,
mayo,
mayo,"ma,boston,'50"
mayo,"pa,"
mayo,"*eng,"
meath,"ma,lawrence"
meath,"ma,lawrence"
meath,"nyc,'51"
meath,"nyc,'48"
meath,"can,"
monaghan,
monaghan,
*england,"nyc,'48"
*scotland,"ma,boston"
*england,"nyc,'47"
,"pa,jerard,erie co.,45"
roscommon,"ny,lockport"
roscommon,"ny,lockport"
sligo,"quebec,'36"
tipperary,nyc
tipperary,"nyc,5/51"
tipperary,"ny,albany, hudson"
tipperary,"al,fairfield,pickens co.,'48"
waterford,"ma,fall river,8/52"
waterford,"nj, newark, 50"
waterford,"nj, newark, 50"
waterford,"la,new orleans"
waterford,"ma,boston,35 hanover st,tar*"
waterford,"ma,boston,35 hanover st,tar*"
wexford,"nyc,51"
wexford,"ny,utica"
,"ont,kingston,4/50"
,"ma,newburyport,9/51; ny"
cavan,"nyc,8/51"
clare,"nyc,'52"
clare,"ma,worcester,'48/'49"
cork,"ma,boston,'49"
donegal,"nyc,'52"
fermanagh,"ont,toronto"
galway,"la,new orleans,'50"
galway,
kerry,"dc,georgetown college"
kerry,"mo,st.louis"
kings,"ny,geneva, seneca co."
kings,"nyc,'42"
mayo,"que,montreal,'47 (hospital)"
mayo,"que,montreal,'47 (hospital)"
meath,nyc
roscommon,"in,madison"
roscommon,"va,"
tipperary,"la,new orleans;memphis,tn"
,"nyc,2/14/48"
clare,"nyc,'35"
clare,"md,"
clare,"md,"
clare,"nyc,'47"
clare,"nyc,'51"
clare,quebec
clare,"ma,boston,'48"
cork,
cork,"nyc,'50"
cork,"nbr,st.john,'48"
cork,"ia,lafayette,tippecanoec.'49"
cork,"ia,lafayette,tippecanoec.'49"
cork,"ia,lafayette,tippecanoec.'49"
cork,"ia,lafayette,tippecanoec.'49"
cork,"ny,syracuse"
cork,"ny,cuddebackville,"
cork,"nbr,st.john,'46"
cork,
dublin,"nyc,'49"
galway,"ma,milford"
galway,
galway,"nbr,st.john"
galway,"nbr,st.john"
galway,"nbr,st.john"
kerry,"ct,'50"
kerry,nyc
kerry,nyc
limerick,"ny,peru,clinton co."
limerick,"ny,portageville,livingstonc."
limerick,"nyc,'50"
limerick,"ny,buffalo,9/52"
louth,"nyc,'48"
louth,"nyc,'48"
meath,"nyc,'47"
meath,"nyc,'47"
roscommon,"ma,boston,'49"
tyrone,"que,"
waterford,
waterford,
waterford,
wexford,"ont,"
,"ma,bridgewater'52"
,"va,fairfax co"
cavan,"mo,st.louis"
cavan,"va,wheeling"
clare,"pa,new milford"
clare,"pa,new milford"
cork,"mi, 8/51"
cork,
cork,
cork,"quebec,'50"
cork,"quebec,'50"
cork,"ma,boston,'37"
cork,"ma,boston,'52,c/o connell"
cork,"la,w.baton rouge"
cork,"ma,boston,'47"
donegal,"nbr,st.john,'39"
londonderry,"nbr,st.john,'39"
fermanagh,"ma,boston,'46"
fermanagh,"ct,hartford,'50"
galway,"nyc,3/30/52"
galway,
kerry,"ny,norwich"
kerry,"ny,waterloo,monroe co."
kerry,"ny,waterloo,monroe co."
kerry,"ny,norwich"
kildare,"il,"
leitrim,"ma,lowell,9/52"
longford,"ny,brooklyn"
monaghan,"wi,janesville,11/23/50"
sligo,mexico
sligo,"pa,danville"
tipperary,"va, marion"
tipperary,"oh,perry twship,brown co.'43"
tyrone,nyc
waterford,"ny,mt.pleasant,saratoga co."
,"la,new orleans, 4/51"
,
,"nyc,10/51"
armagh,"ont,n.crosby"
armagh,
cork,"ny,rochester,'51"
cork,"nh,"
donegal,"nbr,st.john"
galway,"ny,pondeddy,sullivan co."
galway,"nyc,11/52"
galway,"nyc,'52"
kerry,"ny,buffalo"
kerry,"quebec,'52"
kerry,"ma,upton"
leitrim,"md,baltimore"
limerick,"ns,halifax,7/51"
londonderry,"pa,lancaster,'43"
mayo,"quebec,'42"
mayo,"quebec,'42"
mayo,"nbr,st.john,'52"
mayo,"nbr,st.john,'52"
mayo,"nbr,st.john,'52"
mayo,"in,evansville"
roscommon,
sligo,"ma,boston"
waterford,"ny,mt.labor,monroe co."
waterford,"ny,mt.labor,monroe co."
westmeath,"ny,erie co."
wexford,"ny,addison,steuben co."
,
,"quebec,'23"
,"ny,herkimer cnty.frankfort,"
,
cavan,"la,new orleans,06/51,ky*"
cavan,"nyc,'52"
clare,"quebec,'48"
clare,"quebec,'44"
clare,"quebec,'51"
cork,
cork,
cork,
cork,"ct,new haven,"
cork,
cork,"ma,boston,8/52"
cork,"ma,boston,8/52"
cork,
cork,"ma,boston,8/52"
cork,"ma,boston,8/52"
galway,
kerry,
kerry,"oh,indiana co.,richland"
kerry,"la,new orleans*"
kerry,"oh,indiana co.,richland"
kildare,
kings,"la,new orleans, canal st."
leitrim,"ma,boston"
limerick,"nyc,'49"
limerick,"nyc,'45"
limerick,"nyc,'46"
limerick,"nh,winchester,"
limerick,"ma,e.weymouth,12/53"
limerick,"ma,e.weymouth,12/53"
limerick,"ma,e.weymouth,12/53"
limerick,"me,"
limerick,"pa,pittsburgh 08/52"
limerick,"pa,pittsburgh,08/52"
limerick,"mi,detroit, 52"
mayo,nyc
mayo,"nyc,'46"
mayo,"nyc,'48"
meath,"que,montreal 49,"
westmeath,"nyc,10/51"
meath,nyc
roscommon,new york
tipperary,"oh,haughton cnty.,logan,"
tipperary,"quebec,'43"
tipperary,"ont,ottawa,[bytown]"
tipperary,"ont,ottawa,[bytown]"
tipperary,"vt,bolton 49"
tipperary,"vt,bolton 49,"
tipperary,"vt,bolton, 49"
tipperary,
tyrone,"nbr,st.john"
tyrone,"ny,buffalo 04/50"
,"ma,newburyport 01/52"
,"ny,elmira, 52"
,"la,new orleans-me,machias 51"
,"ma,pittsfield, 07/51"
galway,"*eng,"
,"va,01/52"
cavan,
cavan,"nyc,believed there"
cavan,"nyc,51"
cavan,"que,montreal,believed there"
cavan,"nyc,51"
clare,near quebec
clare,"nbr,/ns,nelson co*"
clare,"quebec,'47"
clare,"quebec,'47"
clare,"quebec,'47"
cork,"ma,boston,supposed,"
cork,"tn,"
cork,"quebec,'52"
cork,
cork,
cork,
cork,"ny,cattaraugus,09/52"
cork,
cork,"oh,'50"
cork,
cork,
cork,
cork,"ma,boston,supposed"
galway,
galway,"va,alexandria,"
galway,
galway,"nbr,st.john"
galway,"mo,st.louis"
galway,"*eng,"
kerry,"mi,detroit, 47"
kilkenny,
limerick,"nyc,'49"
limerick,"nyc,'49"
limerick,"ny,palatine*"
meath,"ny,troy, going to brooklyn"
queens,"nyc,'47"
roscommon,"nyc,'50"
roscommon,"nyc,'50"
sligo,"pa,"
tipperary,"nyc,'46"
tipperary,"ny,long island, 49"
tipperary,"ny,albany,goin to"
tipperary,"nyc,2/52"
tipperary,"nyc,'52"
tipperary,"ny,brooklyn,"
tipperary,"ny,long island, 49"
,"nyc,'52"
,"me,frankfort,12/52"
,"oh,cleveland"
,"ma,worcester,51"
cork,"ma,salem,6/52"
cork,nyc
cork,nyc
cork,"ny,niagara falls,9/52"
cork,"quebec,'39"
cork,"nyc,'50"
cork,"nyc,'49"
cork,"va,"
fermanagh,"ma,lawrence,52"
galway,"md, cumberland"
galway,
galway,"mi,detroit"
kerry,"oh,"
kerry,"ma,boston,11/51"
kerry,"il,"
kerry,nyc
kerry,"ny,maplehill,cattaraugus co."
kildare,"nyc,'51"
kildare,"oh,cincinnati,'51"
kilkenny,"ma,fall river,7/52"
leitrim,"nbr,st.john"
leitrim,"nbr,st.john"
leitrim,
limerick,"oh,cleveland,50"
limerick,"va,"
limerick,"va,"
mayo,"can,"
mayo,"nbr,st.john"
mayo,"nbr,st.john"
mayo,"nbr,st.john"
mayo,"nyc,'52"
meath,"la,new orleans"
roscommon,"al,"
roscommon,"ny,geneva co.50"
sligo,"vt,"
tipperary,"nyc,'47"
tipperary,"ma,ware,51;va,bedford co."
limerick,"nyc,'49"
tipperary,can
waterford,"nc,charles*,1/51;mi,westhren"
,"ky,/la,new orleans"
,"ont,new london"
,"[],an eastern city"
,"ny,brooklyn,1/53"
,nyc
,
armagh,"ma,sandwich,7/48"
cavan,"ma,boston"
clare,
clare,"ont,"
clare,
cork,"va,grives creek,macil co."
cork,"oh,"
cork,"ny,syracuse,49"
donegal,"quebec,'47"
galway,"nyc,'39"
galway,"new england,'50"
galway,canada
galway,nyc
galway,nyc
galway,"va,52"
kerry,
kerry,"nh,shelburn"
kings,"nj,"
leitrim,"nyc,'49"
louth,"wi,10/51"
mayo,"ma,boston,'49"
mayo,"ma,boston,'49"
roscommon,"pa,altona,blair co."
roscommon,"ri,providence"
roscommon,"que,quebec"
sligo,"me,creag's mill"
tipperary,"la,new orleans"
tipperary,"la,new orleans"
tipperary,"me,"
tipperary,"la,new orleans"
tyrone,"ns,halifax"
tyrone,
tyrone,"quebec,'44"
tyrone,"quebec,'47"
waterford,
wicklow,"la,n.orleans,12/51"
,"ma,boston,'51"
,"nj,morristown,50"
clare,
clare,"la,new orleans"
clare,"la,new orleans"
clare,"pa,delaware co.,50"
cork,"ky,12/51"
cork,
cork,"ma,s.boston,4 yrs"
galway,"ma,boston,fort independence"
galway,nyc
galway,"nyc,'51"
kerry,"quebec,'34"
kerry,"quebec,'40"
kerry,"mi,detroit"
kerry,"mi,detroit"
kerry,"ky,frankford,3/51"
kerry,"nyc,'48"
kerry,"nyc,'49"
kerry,"mi,lake superior"
kilkenny,"ny,albany,38"
kilkenny,"ny,albany,38"
kilkenny,"ny,albany,38"
limerick,"il,"
louth,"il,clinton co."
mayo,"mo,st.louis,12/49"
meath,"nyc,'51"
meath,"pa,"
meath,"oh,warren co."
meath,"pa,"
queens,nyc
roscommon,"quebec,'47/48"
roscommon,nyc
roscommon,
roscommon,"nyc,'36"
roscommon,
tipperary,"ma,boston"
waterford,"nyc,'52"
westmeath,"ma,boston;9/52"
,"il,chicago"
,"la,new orleans,fort jackson"
,
,"pa,pottsville"
,"ma,boston,'52"
cork,"va,richmond"
cork,"ma,cambridge"
down,nyc
dublin,"ma,n.danvers"
galway,"nyc,'51"
galway,
galway,
galway,
galway,"quebec,'43"
kerry,"ma,boston*"
kerry,"ma,boston*"
kerry,"oh,springfield"
kerry,"quebec,'51"
kildare,"mo,platt co."
kings,"la,new orleans"
kings,
leitrim,
limerick,"il,"
limerick,"il,"
limerick,"il,"
limerick,"il,"
limerick,"wi,winnebago,49"
limerick,"wi,fort winnebago,49"
limerick,
limerick,
limerick,
limerick,
limerick,"quebec,'30"
londonderry,"quebec,'49"
londonderry,
mayo,"pa,"
mayo,nyc
queens,"pa,greenland"
roscommon,"nyc,'50"
sligo,"il,chicago"
sligo,"ma,cambridge,49"
tipperary,"pa,"
tipperary,"ny,troy"
tipperary,"mo,st.louis"
tipperary,"ont,smith falls;nr lk. huron"
tipperary,"ont,bytown[ottawa],51"
tipperary,"ma,hampden co.,10/49"
tipperary,"nyc,'51"
galway,"la,"
,
,"ma,so.danvers,52"
cavan,
clare,"vt,"
clare,"vt,"
clare,"vt,"
clare,"vt,"
cork,"nbr,st.john"
cork,"nbr,st.john"
cork,"la,new orleans"
cork,"nbr,'35"
donegal,"ma,boston,52"
galway,
galway,"ma,belchertown"
kerry,"pa,"
kerry,"ny,lainesville,6/52"
kerry,
kerry,
kildare,"nyc,'52"
kilkenny,"nyc,'49"
kilkenny,nyc
kilkenny,nyc
limerick,"ny,rome"
limerick,"ont,belleville"
limerick,"ont,belleville"
limerick,"ont,belleville"
louth,"il,galena,50"
louth,"nh,hinsdale"
mayo,
mayo,
queens,
roscommon,"ny,buffalo"
roscommon,"ny,buffalo"
roscommon,nyc
roscommon,"pa,51"
sligo,"quebec,'33"
sligo,"quebec,'33"
sligo,"quebec,'33"
tipperary,"mi,marshall,calhoun co."
waterford,"nyc,'48"
waterford,"nyc,'51"
wexford,
wexford,
wexford,
,"tn,nashville"
,"tn,nahville"
,"md,baltimore,8/52;pa"
,
,nyc
,nyc
,nyc
,"ky,louisville"
,"nyc,'47"
,"tn,nashville"
,"tn,nashville"
,"ma,boston"
antrim,"pa,pittsburg"
antrim,"pa,pittsburg"
cavan,"ma,lowell"
clare,"oh,51"
clare,"quebec,'49"
cork,"ma,s.boston,50;tn"
cork,"nyc,'45"
cork,"nh,"
cork,"ny,appleton"
cork,
cork,
galway,"ky,louisville"
kerry,"va,richmond"
kerry,"ma,cambridge"
kerry,"quebec,'50"
kerry,"ma,boston,50"
kildare,"nyc,'48"
limerick,"quebec,'47"
limerick,"nyc,'51"
limerick,"nyc,'43"
limerick,"nyc,'43"
limerick,"nyc,'52"
limerick,"va,"
limerick,"va,"
longford,"ma,morgan co."
mayo,"quebec,'50"
meath,"nyc,'44"
meath,"nyc,'44"
meath,"ny,buffalo"
monaghan,"ga,"
tipperary,"quebec,'47"
tipperary,"quebec,'47"
tyrone,"ri,providence"
tyrone,"ri,providence"
,"ma,chicopee,6/51;ny"
,"ny,canandaigua"
,
,"ma,blackstone village"
,"ma,s.andover,2/52/lawr *"
carlow,"nyc,'52"
clare,"pa,"
clare,"nyc,'49"
clare,"ct,hartford,11/52"
cork,"ma,boston,'49"
cork,"oh,cincinnati"
cork,"ma,wilmington,8/49"
cork,"ns,'49"
cork,
cork,"ms,wiston,50"
galway,nyc
galway,"nyc,'52"
galway,"pa,50"
kerry,"ny,oswego,48"
kerry,"nyc,'46"
kerry,
kerry,
kerry,
clare,"ct,hartford,11/52"
kings,"ny,buffalo,nr,'51"
leitrim,"mi,detroit"
limerick,"pa,section8,central rr"
limerick,"quebec,'50"
limerick,"quebec,'50"
londonderry,"quebec,'34"
mayo,"oh,cleveland,52"
roscommon,"ont,"
roscommon,"nyc,'52"
roscommon,"ma,roxbury,50"
roscommon,"ny,new orleans co.,4/52"
roscommon,"ny,albany,50"
waterford,"nyc,'50"
waterford,"ny,waverly,tioga co."
,
,"dc,wash,military asylum,10/5"
cork,"ma,boston"
cork,"ma,millville"
cork,"ma,w.stockbridge"
cork,"ma,jamaica plain,52"
cork,"ma,w. cambridge,51"
cork,"nyc,'52"
donegal,"pa,wilkesbarre"
donegal,"pa,wilkesbarre"
kerry,
